iter	Passed	Remaining
0	1	105
1	1	92
2	2	89
3	3	84
4	4	84
5	5	83
6	6	87
7	7	86
8	8	84
9	9	82
10	10	81
11	11	80
12	11	80
13	12	79
14	14	80
15	15	80
16	16	79
17	17	79
18	18	78
19	19	77
20	20	77
21	21	76
22	22	75
23	23	74
24	24	72
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	60
38	37	59
39	38	57
40	39	56
41	39	55
42	40	53
43	41	53
44	43	52
45	44	51
46	45	50
47	45	49
48	46	48
49	47	47
50	48	46
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	40
57	54	39
58	55	38
59	56	37
60	58	37
61	59	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	80	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	91	3
96	93	2
97	94	1
98	95	0
99	96	0
