iter	Passed	Remaining
0	145	145316
1	146	73098
2	147	48972
3	148	36888
4	148	29647
5	149	24814
6	150	21383
7	152	18878
8	153	16880
9	154	15269
10	155	13938
11	155	12832
12	156	11891
13	157	11085
14	158	10386
15	159	9820
16	160	9282
17	161	8801
18	162	8370
19	162	7981
20	163	7639
21	164	7323
22	165	7047
23	167	6795
24	167	6550
25	168	6322
26	169	6109
27	170	5912
28	171	5730
29	171	5559
30	173	5415
31	174	5271
32	175	5131
33	175	4998
34	176	4877
35	177	4761
36	178	4648
37	179	4543
38	180	4452
39	181	4359
40	182	4267
41	183	4179
42	184	4096
43	184	4017
44	185	3940
45	186	3866
46	188	3814
47	189	3749
48	189	3684
49	190	3623
50	191	3564
51	192	3506
52	193	3451
53	194	3401
54	195	3358
55	196	3311
56	197	3264
57	198	3220
58	199	3176
59	199	3133
60	200	3092
61	202	3064
62	203	3024
63	204	2986
64	204	2948
65	205	2912
66	206	2876
67	207	2842
68	208	2808
69	209	2784
70	210	2753
71	211	2723
72	212	2694
73	212	2665
74	213	2636
75	214	2609
76	215	2581
77	216	2557
78	217	2536
79	218	2512
80	219	2487
81	220	2464
82	220	2437
83	221	2414
84	222	2392
85	223	2370
86	224	2357
87	225	2336
88	226	2316
89	227	2296
90	227	2276
91	228	2258
92	229	2239
93	230	2221
94	232	2214
95	233	2196
96	234	2178
97	234	2161
98	235	2144
99	236	2127
100	237	2111
101	238	2095
102	239	2087
103	240	2072
104	241	2057
105	242	2042
106	242	2027
107	243	2012
108	244	1998
109	245	1985
110	246	1974
111	247	1964
112	248	1951
113	249	1937
114	250	1924
115	250	1912
116	251	1898
117	252	1886
118	253	1873
119	254	1867
120	255	1856
121	256	1844
122	257	1833
123	257	1822
124	258	1811
125	259	1802
126	260	1790
127	261	1782
128	262	1773
129	263	1763
130	264	1753
131	265	1744
132	266	1734
133	266	1724
134	267	1715
135	268	1707
136	269	1700
137	270	1691
138	271	1682
139	272	1673
140	273	1665
141	273	1655
142	274	1646
143	275	1638
144	276	1633
145	277	1625
146	278	1617
147	279	1609
148	280	1601
149	281	1593
150	282	1585
151	282	1578
152	284	1575
153	285	1568
154	286	1561
155	287	1554
156	288	1547
157	288	1540
158	289	1532
159	290	1525
160	291	1520
161	293	1515
162	293	1509
163	294	1502
164	295	1496
165	296	1490
166	297	1483
167	298	1478
168	299	1474
169	300	1468
170	301	1461
171	302	1455
172	303	1449
173	303	1443
174	304	1436
175	305	1430
176	306	1426
177	307	1421
178	308	1415
179	309	1409
180	310	1403
181	311	1397
182	311	1391
183	312	1386
184	314	1383
185	315	1378
186	315	1373
187	316	1368
188	317	1362
189	318	1357
190	319	1352
191	320	1347
192	321	1344
193	322	1339
194	323	1334
195	324	1329
196	324	1324
197	325	1319
198	326	1314
199	327	1309
200	328	1305
201	329	1302
202	330	1297
203	331	1292
204	332	1288
205	332	1283
206	333	1278
207	334	1274
208	335	1269
209	336	1267
210	337	1263
211	338	1258
212	339	1254
213	340	1250
214	341	1245
215	342	1241
216	342	1237
217	344	1235
218	345	1230
219	346	1226
220	346	1222
221	347	1218
222	348	1214
223	349	1210
224	350	1205
225	351	1204
226	352	1200
227	353	1196
228	354	1192
229	355	1189
230	356	1185
231	357	1182
232	358	1180
233	360	1179
234	361	1175
235	362	1172
236	363	1169
237	364	1166
238	365	1162
239	366	1160
240	367	1157
241	368	1153
242	369	1150
243	369	1146
244	370	1142
245	371	1139
246	372	1135
247	373	1133
248	374	1130
249	375	1126
250	376	1122
251	377	1119
252	377	1115
253	378	1112
254	379	1108
255	380	1105
256	382	1104
257	382	1101
258	383	1097
259	384	1094
260	385	1091
261	386	1088
262	387	1084
263	387	1081
264	389	1079
265	390	1077
266	391	1074
267	392	1071
268	393	1068
269	394	1065
270	394	1062
271	396	1060
272	397	1057
273	398	1054
274	399	1051
275	399	1049
276	400	1045
277	401	1042
278	402	1039
279	403	1037
280	404	1035
281	405	1032
282	406	1029
283	407	1026
284	407	1023
285	408	1020
286	409	1018
287	410	1015
288	412	1013
289	413	1011
290	413	1008
291	414	1005
292	415	1002
293	416	1000
294	417	997
295	418	995
296	419	993
297	420	990
298	421	987
299	422	984
300	422	982
301	423	979
302	424	976
303	425	973
304	426	972
305	428	970
306	428	968
307	429	965
308	430	962
309	431	959
310	432	957
311	432	954
312	434	952
313	434	950
314	435	947
315	436	945
316	437	942
317	438	940
318	439	937
319	439	934
320	441	933
321	442	931
322	443	929
323	444	926
324	444	924
325	445	921
326	446	919
327	447	916
328	448	915
329	449	912
330	450	910
331	451	908
332	452	905
333	452	903
334	453	900
335	454	898
336	456	897
337	457	895
338	457	892
339	458	890
340	459	887
341	460	885
342	460	883
343	461	880
344	462	878
345	464	877
346	464	874
347	465	872
348	466	869
349	467	867
350	467	865
351	468	862
352	469	860
353	470	858
354	471	857
355	472	855
356	473	852
357	474	850
358	475	848
359	475	846
360	476	843
361	477	841
362	479	840
363	480	838
364	480	836
365	481	834
366	482	832
367	483	830
368	484	828
369	485	826
370	486	825
371	487	823
372	488	821
373	489	819
374	490	817
375	491	815
376	492	813
377	493	812
378	494	810
379	495	808
380	496	806
381	497	804
382	498	802
383	498	800
384	499	798
385	501	796
386	502	795
387	502	793
388	503	791
389	504	789
390	505	786
391	506	784
392	506	782
393	508	782
394	509	780
395	510	778
396	511	776
397	511	774
398	512	772
399	513	770
400	514	768
401	515	766
402	516	765
403	517	763
404	518	761
405	519	759
406	519	757
407	520	755
408	521	753
409	522	751
410	523	750
411	524	748
412	525	747
413	526	745
414	527	743
415	527	741
416	528	739
417	529	737
418	531	736
419	532	734
420	532	732
421	533	730
422	534	729
423	535	727
424	536	725
425	536	723
426	537	721
427	539	720
428	540	718
429	540	716
430	541	715
431	542	713
432	543	711
433	544	709
434	545	708
435	546	706
436	547	705
437	548	703
438	548	701
439	549	699
440	550	697
441	551	696
442	552	694
443	553	692
444	554	691
445	555	689
446	556	687
447	556	686
448	557	684
449	558	682
450	559	680
451	560	679
452	561	677
453	562	676
454	563	674
455	563	672
456	564	671
457	565	669
458	566	667
459	567	665
460	568	664
461	569	663
462	570	662
463	571	660
464	572	658
465	573	656
466	573	655
467	574	653
468	575	652
469	577	651
470	578	649
471	578	647
472	579	646
473	580	644
474	581	642
475	582	640
476	583	639
477	584	638
478	585	636
479	586	635
480	587	633
481	588	632
482	589	630
483	590	629
484	591	627
485	592	626
486	593	624
487	593	623
488	594	621
489	595	619
490	596	618
491	597	616
492	598	615
493	599	614
494	600	612
495	601	611
496	602	609
497	602	607
498	603	606
499	604	604
500	605	603
501	606	602
502	607	600
503	608	598
504	609	597
505	610	595
506	611	594
507	612	592
508	613	591
509	614	590
510	615	588
511	615	587
512	616	585
513	617	583
514	618	582
515	619	580
516	619	579
517	621	578
518	622	576
519	623	575
520	624	573
521	625	572
522	626	571
523	627	569
524	628	569
525	629	567
526	630	566
527	631	564
528	632	563
529	633	561
530	634	560
531	636	560
532	637	558
533	638	556
534	639	555
535	639	553
536	640	552
537	641	550
538	642	549
539	643	548
540	644	546
541	645	545
542	645	543
543	646	542
544	647	540
545	648	539
546	649	537
547	649	536
548	651	535
549	652	533
550	653	532
551	653	530
552	654	529
553	655	527
554	656	526
555	657	524
556	658	523
557	659	522
558	660	520
559	661	519
560	661	517
561	662	516
562	663	515
563	664	513
564	665	512
565	666	510
566	667	509
567	668	508
568	668	506
569	669	505
570	670	503
571	671	502
572	671	500
